Table Name,Memory Size In Total,Record Count,Disk Size,Page Count,Max Part ID
ACDOCA,209461467198,2896618819,49317715968,10805,4
CDPOS,164905534800,2184160840,24579006464,5654,10
MLKEPH,150369580790,2054446750,18760892416,4350,8
BSEG,123635076577,2077364395,15102181376,5378,8
ACCTCR,115394396928,3470566674,31011282944,2728,4
STPO,103460874555,2258999526,25406087168,2672,4
GLPCA,92503658908,1516487679,88404766720,7621,0
MATDOC,84553195233,1318438154,82958778368,6470,0
STAS,80025252408,2258999526,21482635264,1717,4
MLCRF,67887832828,1438457001,64500367360,4675,0
ZYEXTI22,67775283135,291760734,67516792832,4136,0
BALDAT,63909729875,195499307,63724756992,3969,0
MLPPF,63908643690,1350314762,62562611200,4189,0
MLIT,61981944373,1976320731,10022060032,2010,6
CKIS,55762985386,1210321596,54841495552,6265,0
COSP_BAK,47894163743,662381749,47642398720,3427,0
CKMLKEPH,47579313882,633079392,45628841984,4958,0
BDCP2,45654541982,1317596098,16534921216,1873,4
CKMLPRKEPH,44591885890,698854396,43524476928,3132,0
JEST,43876991957,1342508817,42949718016,2877,0
DBTABLOG,42498625563,101471880,42430410752,2816,0
RESB,41408165693,696569434,41410973696,3398,0
ZPPT0600,36334763520,1282525091,44758757376,3006,0
CMFP,34191244116,1105252954,33177837568,2548,0
ZSDT0756,32690628786,1048268864,37971886080,2874,0
ACCTIT,32583700565,1504586557,76792295424,7389,0
CE1K000,32065459863,319272766,35701436416,3901,0
MLAUFCR,31185209774,943130394,34203631616,2300,0
S033,27779562832,1035837646,47204810752,3193,0
CDHDR,27688584428,592738125,27125334016,1858,0
AUAS,26940394893,542833737,33986088960,2211,0
AUFM,26914363731,722516109,26626240512,1926,0
CKIT,26409936991,1210321596,25633353728,2678,0
ZMDT2001,24328728375,877489859,23667650560,2179,0
ZYCOT0711,24001283075,450243100,27118153728,11298,0
ZCOT2200,22428876673,437957147,22351278080,2483,0
COSPD,22261921030,350295947,22140432384,1467,0
ZPPT0952,21049745354,527979452,27316559872,19114,0
MLAUF,20948689953,471565197,20806664192,1502,0
ZPPT0980,18251505911,302444574,17809534976,3284,0
S933,17705365281,247440052,17474125824,1242,0
ZWMT9000,16770429766,236367913,16844214272,1403,0
MLAUFKEPH,16450411668,214924662,17568960512,1337,0
JSTO,15362724837,607898533,16666599424,1171,0
COEP,15357541441,492188549,15175995392,1568,0
ONR00,15355100407,607905856,16524333056,1148,0
ZMMT2271,15001472957,426230435,14777012224,1237,0
ZCOT1010,14992743532,482160303,16988114944,1216,0
ZPPT0092,14584991917,213322826,15260819456,1037,0
MSTA,12750644969,410925147,12628684800,1200,0
COKA,11612282548,418968091,13620649984,955,0
ZMMT2046,10792468728,171808854,10949537792,941,0
SE16N_CD_DATA,9500388563,3156936,9252036608,704,0
MLCD,9305897272,171736846,8954716160,1082,0
COSB,9190782173,113847003,9180487680,1173,0
ZPPT0710,9098604780,102557669,9310019584,934,0
COVA,8888122675,2309319,8540794880,566,0
COBK,8832559868,161747712,8804397056,854,0
BKPF,8799991310,203897464,8888635392,1101,0
CE3K000,0,0,6783180800,1856,0
LIPS,0,0,6423453696,1824,0
COSS_BAK,0,0,7893393408,1632,0
ZSDT0100,0,0,8769208320,1497,0
MLCR,0,0,6008283136,1258,0
MLPP,0,0,7665111040,1204,0
ZYIMTI22,0,0,17658179584,1144,0
ZSDT0102,0,0,6780108800,1124,0
KALM,0,0,7143104512,1123,0
ONROK,0,0,14492291072,1028,0
ZSDT0101,0,0,6941958144,951,0
EKBE,0,0,7865683968,918,0
ZWMT9001,0,0,8960532480,858,0
PRCD_ELEMENTS,0,0,8329027584,831,0
ZMMT8080,0,0,8207544320,815,0
S034,0,0,5144498176,790,0
ZMDT9004,0,0,6366208000,760,0
KEPH,0,0,5097709568,758,0
COEPL,0,0,8569098240,750,0
ZYMMT2500,0,0,5807570944,718,0
ZYMMT8510,0,0,6587002880,704,0
ZZAUFM,0,0,9341390848,688,0
ZPPT0710_LOG,0,0,8451899392,622,0
ZYMMT2510,0,0,5192163328,619,0
VBFA,0,0,6936752128,616,0
ZIMTI22,0,0,8981241856,598,0
ZWMT5037,0,0,6486822912,582,0
ZYPPT0600,0,0,7015817216,578,0
MLHD,0,0,6102114304,574,0
ZMMT2041,0,0,5856174080,554,0
COSSD,0,0,6967406592,546,0
REPOSRC,0,0,9941643264,533,0
ZYPPT0340,0,0,6207893504,524,0
CKMLPRKEKO,0,0,6214762496,497,0
ZPPT0091,0,0,5282598912,465,0
ZWMT0400,0,0,5711986688,461,0
ZYPPT0730,0,0,5249949696,399,0
REPOLOAD,0,0,22717353984,125,0
SOFFCONT1,0,0,43575021568,111,0
TST03,0,0,16364006344,0,0
SXMSCLUP,0,0,9802454064,0,0
